tte_bucket,distance_bucket_bps,sample_count,actual_yes_win_rate,avg_yes_ask,avg_yes_bid,avg_spread_cents_yes,avg_volume,yes_edge_actual,market_minus_actual
10-15,0-50,71145,0.5302551127978073,0.5274918827746152,0.5097413732518097,1.7750509522805538,,0.0027632300231921203,-0.0027632300231921203
10-15,50-100,36445,0.5030594045822472,0.5098246673069008,0.4977193030594046,1.210536424749623,,-0.006765262724653609,0.006765262724653609
10-15,100-200,41482,0.4969625379682754,0.5023764524372017,0.49085868569500024,1.1517766742201443,,-0.005413914468926362,0.005413914468926362
10-15,200-350,49984,0.4962187900128041,0.501697343149808,0.4910323303457106,1.0665012804097316,,-0.00547855313700385,0.00547855313700385
10-15,350-500,41592,0.4966820542412002,0.5017181188690133,0.49162050394306595,1.0097614925947302,,-0.005036064627813086,0.005036064627813086
15-20,0-50,19221,0.5515321783466001,0.5181228864263046,0.4996228083866604,1.8500078039644139,,0.033409291920295514,-0.033409291920295514
15-20,50-100,11388,0.47857393747804705,0.4878468563400071,0.4767571127502634,1.1089743589743593,,-0.009272918861960022,0.009272918861960022
15-20,100-200,16017,0.4955359930074296,0.5015327464568896,0.48840294686895175,1.312979958793782,,-0.0059967534494599906,0.0059967534494599906
15-20,200-350,19872,0.4924013687600644,0.4981622383252818,0.4870657206119162,1.1096517713365546,,-0.005760869565217375,0.005760869565217375
15-20,350-500,17514,0.491207034372502,0.496294964028777,0.48576510220395114,1.0529861824825857,,-0.00508792965627497,0.00508792965627497
2-5,0-50,39276,0.5075364090029535,0.5113728485589164,0.49436067827681024,1.7012170282106125,,-0.0038364395559629116,0.0038364395559629116
2-5,50-100,20521,0.4993908678914283,0.5044076799376249,0.4942458944495882,1.016178548803665,,-0.005016812046196639,0.005016812046196639
2-5,100-200,31868,0.48512614534956694,0.4915968997113091,0.47816116480481985,1.3435734906489272,,-0.006470754361742159,0.006470754361742159
2-5,200-350,37393,0.48880806568074237,0.49555023667531356,0.4835549434386115,1.199529323670206,,-0.006742170994571195,0.006742170994571195
2-5,350-500,24713,0.5054020151337353,0.5103479949823979,0.5002860842471574,1.0061910735240567,,-0.004945979848662629,0.004945979848662629
20-30,0-50,38397,0.4707659452561398,0.527925619188999,0.5095986665624919,1.832695262650728,,-0.057159673932859256,0.057159673932859256
20-30,50-100,24338,0.47259429698414,0.5028297312844112,0.4913974032377352,1.1432328046675984,,-0.030235434300271202,0.030235434300271202
20-30,100-200,30579,0.49919879655973054,0.505421040583407,0.49237450537950883,1.3046535203898104,,-0.006222244023676438,0.006222244023676438
20-30,200-350,38288,0.500287296280819,0.505728949017969,0.4947244567488508,1.1004492269118267,,-0.005441652737150027,0.005441652737150027
20-30,350-500,34114,0.4948408278126282,0.4999463563346426,0.48965937738172016,1.0286978952922559,,-0.005105528522014402,0.005105528522014402
30-45,0-50,13088,0.4708129584352078,0.5262247860635696,0.5087324266503668,1.7492359413202934,,-0.055411827628361776,0.055411827628361776
30-45,50-100,9065,0.48383894098179814,0.4993094318808604,0.4884258135686707,1.0883618312189745,,-0.015470490899062272,0.015470490899062272
30-45,100-200,12421,0.48844698494485145,0.49605587311810645,0.4833032767087996,1.2752596409306824,,-0.007608888173255002,0.007608888173255002
30-45,200-350,17961,0.4922331718723902,0.4975073770948165,0.4860269472746507,1.148042982016592,,-0.005274205222426331,0.005274205222426331
30-45,350-500,17256,0.4878303198887344,0.49295201668984695,0.482449003245248,1.0503013444598985,,-0.005121696801112574,0.005121696801112574
45-60,0-50,854,0.5187353629976581,0.511943793911007,0.4937587822014052,1.818501170960187,,0.006791569086651128,-0.006791569086651128
45-60,50-100,867,0.45098039215686275,0.5027681660899653,0.48058823529411765,2.217993079584775,,-0.05178777393310258,0.05178777393310258
45-60,100-200,1706,0.5,0.5144841735052755,0.4752872215709262,3.919695193434936,,-0.014484173505275533,0.014484173505275533
45-60,200-350,2572,0.49922239502332816,0.5011236391912909,0.4795567651632971,2.156687402799378,,-0.0019012441679627234,0.0019012441679627234
45-60,350-500,2558,0.49960906958561374,0.4980336200156372,0.47734949179046127,2.068412822517592,,0.001575449569976517,-0.001575449569976517
5-10,0-50,71602,0.5175972738191671,0.5192699924583112,0.5021876483897098,1.7082344068601438,,-0.0016727186391440885,0.0016727186391440885
5-10,50-100,33773,0.5067953690818109,0.5125227252539011,0.501617564326533,1.090516092736802,,-0.005727356172090192,0.005727356172090192
5-10,100-200,45327,0.4974959737022084,0.5033357601429612,0.4912456151962406,1.2090144946720502,,-0.005839786440752837,0.005839786440752837
5-10,200-350,53757,0.4910058224975352,0.497902598731328,0.4856984206707963,1.2204178060531656,,-0.006896776233792812,0.006896776233792812
5-10,350-500,39279,0.49642302502609537,0.5014587947758344,0.4914185697191884,1.0040225056646048,,-0.005035769749739072,0.005035769749739072
